"","Description","Results"
"1","Documents","174"
"2","Sources (Journals, Books, etc.)","117"
"3","Keywords Plus (ID)","379"
"4","Author's Keywords (DE)","422"
"5","Period","1988 - 2020"
"6","Average citations per documents","16.27"
"7","Authors","384"
"8","Author Appearances","414"
"9","Authors of single-authored documents","36"
"10","Authors of multi-authored documents","348"
"11","Single-authored documents","38"
"12","Documents per Author","0.453"
"13","Authors per Document","2.21"
"14","Co-Authors per Documents","2.38"
"15","Collaboration Index","2.56"
"16","",""
"17","Document types",""
"18","ARTICLE","160"
"19","ARTICLE; EARLY ACCESS","4"
"20","ARTICLE; PROCEEDINGS PAPER","1"
"21","CORRECTION","1"
"22","PROCEEDINGS PAPER","7"
"23","REVIEW","1"
